"encounter flavour","skill check","DC","Party role","Flavour text","Fail effect stat loc","Fail effect stat name","Fail effect num val","fail effect text","pass effect stat loc","pass effect stat name","pass effect num val","pass effect text"
"Generic","athletics",10,"random","The party must perform a feat of athletics",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","acrobatics",10,"random","The party must perform a feat of acrobatics",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","animal handling",10,"random","The party must perform a feat of athletics",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","arcana",10,"random","The party must recall arcane knowledge",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","deception",10,"random","The party must be deceptive",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","history",10,"random","The party must recall some relevant history",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","insight",10,"random","The party must perform a feat of insight",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","intimidation",10,"random","The party must be intimidating",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","investigation",10,"random","The party must investigate",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","medicine",10,"random","The party must render medical aid",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","nature",10,"random","The party must recall knowledge of nature",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","perception",10,"random","The party must perform an act of perception",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","persuasion",10,"random","The party must be persuasive",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","religion",10,"random","The party must recall knowledge of religion",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","slight of hand'",10,"random","The party must do an act of slight of hand",,,,"Failure!",5,"ritem",1,"Sucess!"
"Generic","stealth",10,"random","The party be stealthy",,,,"Failure!",2,"DP",20,"Sucess!"
"Generic","survivial",10,"random","The party must recall knowledge of survival",,,,"Failure!",2,"DP",20,"Sucess!"
"Dungeon","athletics",12,"Warrior","Some of the ceiling has collapsed, the rocks must be moved out of the way if the party is to progress",2,"HP",-5,"%adv hurts his back lifting the rocks","2#2","DP",20,"%adv kicks all the rocks out of the way!"
"Dungeon","acrobatics",15,"Thief","There is a pit of spikes someone must leap over to tie a rope","2#2","HP#DP","#NAME?","The spikes pierce %adv, leaving them injured but they get to the other side",2,"DP",20,"%adv wall-runs across the gap with the grace of a cat, fixing a rope to allow the other to shimmy across"
"Dungeon","animal handling",13,"Negotiator","A herd of cave frogs blocks your way, the party must usher them aside ",,,,"The attempts of %adv to calm the creatures fails and they become aggressive, the party must find another way around",2,"DP",30,"The soothing tones of %adv parts the creatures like the red sea"
